User,Tweet,Subjectivity,Polarity,Analysis
AllenMajorovic,    And you have no idea what it takes to put together a distance learning class since learning's done on a basis convenient to the teacher.,0,0,Neutral
AhmedKhateer2,": For young people, learning while sitting at a screen can be valuable, but it's too often at the expense of whole-body acc…",0,0,Positive
wheller56,": PREPARATION  FOR FULL SCALE OFFENSIVE 

🇷🇺🚌The authorities of the Kursk region recommended transferring students from al…",1,0,Positive
dlhampton,": For young people, learning while sitting at a screen can be valuable, but it's too often at the expense of whole-body acc…",0,0,Positive
ImShortstranger," Literally… I do distance learning, so I‘m at home 24/7. College started for me 3 weeks ago. I‘ve done nothing except highlight one sentence. I. Am. Doomed.",0,0,Neutral
Essayprowess,(Solved): The purpose of the essay is to provide advice for other distance learning students on how to manage time ,0,0,Negative
Curmudgeon1831,Pandemic slide? I saw it coming. How come you continued to promote distance learning. ,0,0,Neutral
DavidRusskian,"PREPARATION  FOR FULL SCALE OFFENSIVE 

🇷🇺🚌The authorities of the Kursk region recommended transferring students from all schools in six districts of the Kursk region, bordering the territory of Ukraine, to distance learning from October 13.",1,0,Positive
VitoJ96,"It was so Sagittarius of  to be sitting in the seat of the pastor/priest in the grace video.

That’s true 9th house activity higher learning, philosophy, long distance travel physical and spiritual.",0,0,Positive
MLA_College,": 📢 in parternship with _College is happy to announce the new BSc (Hons) in Global Sustainable Development
🤝…",0,0,Positive
CifalLondon,": 📢 in parternship with _College is happy to announce the new BSc (Hons) in Global Sustainable Development
🤝…",0,0,Positive
cryptostacys,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
ElaineS_Hobart,"Also now experimenting with distance and hybrid modes, and - as we should in learning organizations - learning a lot for and with staff and students in the class. Infrastructures of care are built in - time , candor, growth mindset.",0,0,Neutral
SLStenberg,: Oregon Teachers! Apply today for  CAP’s new Distance Learning Scholarship Program to get a FREE virtual field tri…,1,0,Positive
CanadaMaple8530,Wtf?!? 🤬🤬🤬 From one of the books in the course I'm taking on an online/distance learning. Like WTF? 😤 ,1,-1,Negative
instructlady,: 5th International Open &amp; Distance Learning Conference - IODL 2022  via ,0,0,Neutral
SenocakDilek,: 5th International Open &amp; Distance Learning Conference - IODL 2022  via ,0,0,Neutral
NicolasPiche,: Deep learning can be used to segment critical overhang distances in tomography images of batteries. Thanks to …,0,0,Positive
ZuckTacker,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
devdau12,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
BizSwell,_Logic: Remote learning is part of the new normal in education. This also means blending classrooms with remote students and in-cl…,0,0,Positive
sylviasimm,":  _geoff   You have all the tools to switch to distance learning, so I should wr…",0,0,Neutral
vealhorrocks," We need to learn to live with covid. That doesn't mean ignore it and go back to normal. It means learn to live with masks, social distancing, sanitising, remote working, distance learning, etc. Other countries manage it so why can't we",0,0,Negative
ColleenHerold, Last I was getting ready to “pause” HS sports even though 0.1% of Covid deaths were tied to all sporting events. Kids were crying they were going to be forced back into distance learning. Crime was 20% lower. Heating bills 50% less and we paying FOF millions of dollars.,0,0,Negative
MadisonAcademic,ALL Madison Seniors take the ACT on October 18th. Distance Learning Day for 9-11 grades.   MAHS ,0,0,Neutral
ggbhtg," _ 40+ hours of playtime, didn't see a single Drive Reversal. Especially not from myself, this was my first time learning a Street Fighter game, and I was little busy getting pushed from half-screen distance into the wall. Oh, and uh, learning what buttons I'm even supposed to press",0,0,Negative
jay_shubrook,: REGISTRATION IS STILL OPEN for the National Diabetes Prevention Program Lifestyle Change Program. NationalDPP Fall Sessi…,1,0,Neutral
ExecuteOrder6d6," Hi anyone with the right equipment can bounce a laser off the mirrors we left up there for that exact purpose &amp; measure the precise distance.

You, should you care about learning real things could do it yourself.",0,0,Positive
najiharazi,": In Yemen, we are starting early to help GirlsLead, preventing school dropouts by providing remedial education classe…",0,0,Positive
BashaReport,": In Yemen, we are starting early to help GirlsLead, preventing school dropouts by providing remedial education classe…",0,0,Positive
Alveric,": ""One day the mountain that is in front of you will be so far behind you, it will barely be visible in the distance. But the…",1,0,Negative
UnknownUserD13,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
cwconbot,Course in Distance Learning to Standardize To Promote Improved Student Training Creating E-Portfolios and Curriculum Cyber,0,0,Neutral
seydakr94,: 5th International Open &amp; Distance Learning Conference - IODL 2022  via ,0,0,Neutral
DrGregMcWhorter,Dr. Greg shared digital citizenship w/6-12 graders @ Val Verde Academy distance learners! We had fun while learning how to be safe &amp; secure online!    _lenoir   ,0,0,Positive
cferejohn, They were really great during distance learning for my kid who has a hard time sitting still and concentrating. He could pay much better attention when he had something to fiddle with (though in class they can be distracting).,1,0,Positive
abdocollege,"Could you be a ABDO College distance learning tutor? Apply for stage one of training now 

Applications close 14 October ",0,0,Neutral
MdkAdemide,": If Hazard takes jamb form next year, he can still gain admission to UI or distance learning while doing his plumbing w…",0,0,Neutral
bgpinal,": @_iamkitana  Capricorn is limitations &amp; Aquarius is limitlessness. Sagittarius is expansion. 

To be ex…",0,0,Neutral
hass4ali,": FREE BIZ TRAINING 
1)Free  Distance Learning Online Training.
2)Free Certificate of  Entrepreneurship Management.
3)FREE C.A.…",1,0,Positive
zooloo79,"_Walker: We are looking to recruit a new Educational Advisor 
 to support the development of online distance learning…",0,0,Positive
BearTrust,: Oregon Teachers! Apply today for  CAP’s new Distance Learning Scholarship Program to get a FREE virtual field tri…,1,0,Positive
JustCallMeAngVS,Looking for free professional development during NDLW National Distance Learning Week. Anyone have something going on? onlinelearning,0,0,Positive
bcgregory,"    In most cases, they were able to receive some aid to help keep their business going. Only a couple of children were involved which used distance learning, certainly not ideal but worked. No one lost a job due to refusal to wear a mask or be vaccinated if that's what you mean.",1,0,Positive
revolt_tyranny,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
MorningStomp,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
holdsworth353," And you’re okay with repeated reinfections given what we are learning about the neurological, GI, and cardiac sequelae in a significant population post-infection? Sit and wait on the tracks watching that light in the distance get rapidly larger?",1,0,Positive
wusgood_eth,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
PollingProf,"As a pollster, parents tell us their kids were affected negatively by distance learning &amp; lost school, but it's worth asking how low scores correspond to curriculum as the education system has began prioritizing humanities over science, math, &amp; reading.
",0,0,Neutral
rohitku04088786,   Change the examination scenario of distance mode learning... Especially for science subjects.....,1,0,Neutral
GokceBecit,: Profiling Learning Preferences of Distance Education Students Based on Neural Network Analysis ,0,0,Neutral
Burt15Theresa,: Videos of goldfish learning to swim a set distance then turn back for a food reward. Anyone who trains fish knows how hard…,0,0,Neutral
Internet2,: Oregon Teachers! Apply today for  CAP’s new Distance Learning Scholarship Program to get a FREE virtual field tri…,1,0,Positive
LuisGasco,"In COPNER the authors propose a very interesting few-shot NER approach that combines contrastive learning and prompt guiding techniques. The authors use class-specific words(CW) as a prompt during training, in which they seek to reduce the distance between each token and its CW ",1,1,Positive
CollegeLifeHak,_Logic: Remote learning is part of the new normal in education. This also means blending classrooms with remote students and in-cl…,0,0,Positive
EdTechFam,_Logic: Remote learning is part of the new normal in education. This also means blending classrooms with remote students and in-cl…,0,0,Positive
ousl_gayani,: 5th International Open &amp; Distance Learning Conference - IODL 2022  via ,0,0,Neutral
honeywoven, this is distance learning so …… No all of these people are total strangers to me,1,0,Neutral
Teach_Logic,"Remote learning is part of the new normal in education. This also means blending classrooms with remote students and in-class students. You need a system that integrates easily. Learn more about TeachLogic Classroom Audio 

Teachers Education K12 Tech ",0,0,Positive
NESCollege,"At NESCol we’ve got courses for everyone – including a fantastic programme of part-time and distance learning options. Whether just for fun or to boost your career, it’s time to give your mind a workout! View courses and book now at:  ",1,0,Positive
DiabetesTUCA,"REGISTRATION IS STILL OPEN for the National Diabetes Prevention Program Lifestyle Change Program. NationalDPP Fall Session.
Offered by 's MOBEC
Distance-Learning sessions | Mondays @ 6 p.m.
Register today: 
DiabetesPrevention Prediabetes ",1,0,Neutral
CoJaus,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
juliekapsalis,": As part of our campaign to promote mentalhealth wellbeing, our Acting CEO  has signed up to our ‘Mental Health F…",0,0,Negative
mattcornock,"_Walker: We are looking to recruit a new Educational Advisor 
 to support the development of online distance learning…",0,0,Positive
jon_g_brown,"_Walker: We are looking to recruit a new Educational Advisor 
 to support the development of online distance learning…",0,0,Positive
CodeforPDX,: Oregon Teachers! Apply today for  CAP’s new Distance Learning Scholarship Program to get a FREE virtual field tri…,1,0,Positive
BigRilley," They operate in a similar pattern as a private institution. 
They are not affected by strike.
They are known for Distance Learning.

Read them up online",0,0,Neutral
zhrdskn,: 5th International Open &amp; Distance Learning Conference - IODL 2022  via ,0,0,Neutral
LinkOregon,Oregon Teachers! Apply today for  CAP’s new Distance Learning Scholarship Program to get a FREE virtual field trip for your class from  (up to a $400 value!). Last day to apply is Dec. 16! Learn more: ,0,0,Positive
MNsotaTrotsky," This article is so misleading, basically the states who did the least distance learning brought down the scores for the nation. Without evaluating where the scores were bad lead people to believe stoping school to prevent sickness was a bad idea…",1,0,Negative
RichardM_Walker,"We are looking to recruit a new Educational Advisor 
 to support the development of online distance learning programmes within the School of Business and Society. For further details, see:  _tel _L_T _Yorkshare Closing date: 25th Oct.",0,0,Positive
azulletech,"Looking to upgrade your media center or workstation❓ Get a compact full Windows mini PC and at a lower cost power:

🍿 Home Entertainment
💼 Remote/Hybrid Work
📚 Distance Learning
🎮 Cloud Gaming
…And more!",0,0,Positive
unescobangkok,: The concept is an ode to lifelong learning where city inhabitants have access to cultural spaces within a 15-minute distance fr…,0,0,Neutral
NorthSideHighTN,🗣️ ALL seniors will take the ACT on 10/18. 🎓 Students in grades 9-11 will have a Distance Learning Day. nshsindians TheNorth _DrChandler ,0,0,Neutral
dwtisadogboy,there’s a high chance im losing my job soon and i’m starting uni next year and learning to drive idk what i’m going to do i can’t get a job that’s in walking distance to me,0,0,Positive
neolms,How to S.T.E.A.M. up distance learning  education edtech elearning,0,0,Neutral
NorseLass,    We also have a Distance Learning MA in Norse &amp; Viking which includes modules on runology.,0,0,Neutral
Nameless_eth,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
Zetetes_MS,"  Sallie: this isn't an actual suggestion, but I went to Taiwan knowing no Mandarin, then, once there, learned it fast with hard work and environmental opportunities and support. In retrospect, learning in the country was far more efficient than learning at a distance. Environment.",1,0,Positive
D3V0N8T3R,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
CifalGlobal,"📢 in parternship with _College is happy to announce the new BSc (Hons) in Global Sustainable Development
🤝Through distance learning, we can support you,. no matter where you are in the world

🔗To learn more visit:   ",0,0,Positive
KingWaxx47,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
ItsBangBillion,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
CMdatascoop,: The education sector can benefit significantly from blockchain technology and more. Read to learn how these 4 tech trends can i…,1,0,Positive
MarkJ_ohnson,: The education sector can benefit significantly from blockchain technology and more. Read to learn how these 4 tech trends can i…,1,0,Positive
AVIXA,The education sector can benefit significantly from blockchain technology and more. Read to learn how these 4 tech trends can improve educational experiences.  highered technology education edtech,1,0,Positive
dipitydoobie,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
FranklinCoHS,"Congratulations to Mr. Simpson, Ms. Graves, and Mrs. Masters for being recognized for their hard work during distance learning! ",1,0,Negative
shiroyuki_24,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
NickTKPinto,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
ilovenftproject,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
3L3NFT,"Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Starts 9pm EST Tonight!



3L3Herd",0,0,Neutral
Illinois_Online,"Earn your certificate in Environmental Geology from anywhere in the world from a pioneer and leader in innovative distance and online learning, . ",1,1,Positive
MisLonie,O bona rona ba distance learning re sweletse ,0,0,Neutral
Guardian_Iroh,"  I’d highly recommend learning them because what your saying vs the terminology being used mean two very different things. I’m not trying to convince anyone that they’re the way, just that, in the right hands can be a useful tool/aid in training especially from a distance.",1,0,Positive
exilefromgroggs," OU is Open University, distance learning. Yes, there are atheists who study theology, but it's definitely something to study only if you're interested, it will seem pointless otherwise. PhD is intense, you have to learn and research a subject in depth in your own.",1,0,Positive
sommnaidu,5th International Open &amp; Distance Learning Conference - IODL 2022  via ,0,0,Neutral
HuxTweets,"  I think this is a hugely important question. Personally, I had to decide that enjoying chess was more important than improving.

That helped me enjoy games more. I could distance myself from results more and try to find joy in learning things, even when taught by a bad loss.",1,0,Positive
Nescot,"As part of our campaign to promote mentalhealth wellbeing, our Acting CEO  has signed up to our ‘Mental Health First Aid &amp; Advocacy’ distance learning course. It’s free to over-19s and gives you a level 2 qualification – find out more  ",0,0,Positive
gfmmagazine,"Flour Milling Training Distance Learning Programme: As if history repeats itself
",0,0,Neutral
MayMunich,"Stop repeating it after Marin, she got it completely wrong. Masks are no restriction. Nor airfilter or choosing distance learning. Getting a vaccine isn't arestriction either. It's all prevention. 
/9",1,-1,Negative
aiou_drs,: Alama Iqbal Open University adopted technology for education through distance learning program.   @…,1,0,Neutral
Davechange00,": @_iamkitana  Capricorn is limitations &amp; Aquarius is limitlessness. Sagittarius is expansion. 

To be ex…",0,0,Neutral
PROWIDE4,"💻""Online Proctoring Management for Just, Valid, and Reliable Online Assessment""
🎯PROWIDE Project was presented at the 5th International Open&amp;Distance Learning Conference, which was held on September 28–30, 2022, in Eskisehir. Erasmusplus onlineproctoring _DAAD ",0,0,Neutral
HI_INNESKA,"_Advocacy: During COVID-19, Nur had no distance learning options. But she was then able to communicate with her teacher on Whatsapp t…",1,1,Positive
atharv_19,_FB After in depth learning about distance and displacement.,0,0,Neutral
CaitNewport,Videos of goldfish learning to swim a set distance then turn back for a food reward. Anyone who trains fish knows how hard  and Cecilia Karlsson had to work on this. ,0,0,Negative
BobbyJGallo, Parapsychology. Distance learning. No degrees in the USA for that. The University of Edinburgh.,0,0,Neutral
CentralTechInc,"For Classroom or Distance Learning or Both
eGlass is a new communication system that draws classroom and remote students in like never before. It combines a transparent light board, a built-in camera and software that captures the teacher’s face and writing in the same window. A ",0,0,Positive
allsafe_news,"HACCP distance learning book-based course ONLY £16.50 incl exam! Full Level 2 course. eLearning version also available. CPD certificated. Accepted by BRCGS auditors, SALSA and EHO's HACCP HACCPTraining FoodManufacture Packaging SALSAFood  ",1,0,Positive
DistanceLrnBot,": Distance education 
call now for more details : 85275 67564
onlinelearning education learning elearning onlineclasses d…",1,1,Positive
hephaistos_ai,": Distance education 
call now for more details : 85275 67564
onlinelearning education learning elearning onlineclasses d…",1,1,Positive
Shaanedu,"Distance education 
call now for more details : 85275 67564
onlinelearning education learning elearning onlineclasses distancelearning online onlinecourses virtuallearning covid learn school onlineeducation students teachersofinstagram onlinecourse remotelearning ",1,1,Positive
dummsurfer," i think it's very comparable to learning a language. some of it is grammar and vocabulary, so you get a sense of what is communicated through e.g. framing, cuts and shot distance. but then you run into idioms, dialects, etc. which is where studying theory is helpful.",0,0,Positive
KapoorStudy,"
BSC ZBC Admission 2023-2024 for bachelor of arts in Zoology botany and Chemistry. Apply for the best regular and Distance learning bachelor of science course.
bsc_zbc bsc_zbc_admission bachelor_of_science… ",0,1,Positive
matshego_tee," Okay, you can also help out with distance learning?",1,1,Positive
Lishjim_whore,": A part of maturity is learning to love some people from a distance. To keep their well-being in your prayers, but take a p…",1,1,Positive
ArabellaFraser1,"Development Studies: Where are we at and where are we going? A pluriverse, de-centred knowledge, de-growth or green growth, an impasse? Great discussion  DPP this morning for our new Level 2 distance learning course. Send readings, case studies, thoughts, oh twitter-sphere!",1,0,Positive
saintedwin,"Teaching complex concepts using simple illustrations. 
In medical school, learning and understanding the difference between type I and type II error can be as confusing as trying to look at a distance on a foggy morning.
This pic lays the concept plain and relatable. ",0,0,Negative
mn_libby, Do you regret advising schools to have students in distance learning for such prolonged periods during the 2020-21 school year?,1,0,Neutral
ENMItaly,"ProCSS, PROmoting entrepreneurship and access to finance in the Cultural and Creative Sectors, provides for ✅ a distance learning course for CCS professionals. Check to find out more about the project! 🔗  _ 

MicrofundingCulture ProCSS ENM ",1,0,Positive
KnockJohn2, Imagine trying to do it when you are a Distance Learning student and your classmates are scattered across the world. Fortunately I had one who was a mere 30 miles away.,1,0,Negative
ChromiumCarol," I never went to university, but I studied through distance learning when I was in my 30's and have been running my own successful business for 9 years",1,1,Positive
smart_educator," Programme - Distance &amp; Online Learning from Globally Accepted University... 

▶️Online Distance Education
▶️With Various Specialization
▶️Affordable Fees
.
For more Details Call/Watsapp -
9890646162 / 90909070261
.
 register learn ",0,0,Positive
Jarrod008, Stadio. I think it has the most potential upside because of the growing demand for distance learning. I wrote a read on these three stocks a while back.,1,0,Positive
beingsleepyhead,"  Denying access means you don’t really trust them again with your feelings and distance yourself for your well being. So you will not have to deal with it again, because why would you entertain negativity again. It is not easy, but life is all about learning and making mistakes.",1,0,Negative
StaffsCMDT,"South Staffordshire Colleges free learning when completed their 12-week L2 Qualifications, more detailed course information visit:  discuss further with college or apply over phone, call: 01785 710 529",1,0,Positive
Karimatushema,__ kizo muyi distance learning next year😃 ,0,0,Neutral
NASWNC,"Register Now for the 2022 NASW-NC Virtual Fall Conference! You can receive 13 LIVE hours of CE, and an additional 18 hours of CE via distance learning! Members save 50%! View full information on this session in the conference brochure here:  ",1,0,Positive
Audrey84679,: Hi teachers and parents 👋 I have complied a short list of useful online maths tools and virtual manipulatives to assist you…,0,0,Positive
GeniusEducati14,"Genius Education brings distance learning programs that are top-rated and high quality for working Professionals.
.
.
WhatsApp Now : +971 55 883 1352
Hot Line Number: +971 600 544 544
.
Visit:

.
ba bcom bca bba bsc onlineducation fastrack ",1,0,Positive
GeniusEducati14,"Genius Education brings distance learning programs that are top-rated and high quality for working Professionals.
.
.
WhatsApp Now : +971 55 883 1352
Hot Line Number: +971 600 544 544
.
Visit:

.
ba bcom bca bba bsc onlineducation fastrack ",1,0,Positive
a_ogunwusi,": Learning to code will bring many topics like algebra, cartesian coordinates, speed, distance, etc. to life for your kids w…",1,1,Positive
9jacodekids,"Learning to code will bring many topics like algebra, cartesian coordinates, speed, distance, etc. to life for your kids where they are seeing it practically not just imagining abstract stuff.

What to do? Get your kids started in our coding classes today, send us a DM. ",1,1,Positive
logosbynature,"  _  Spot on: Media twonks will turn these 'apologies' into a boost for their brand. Little people were still f@*ked over and elite types still find us disgusting. 

They'll find other ways to distance 'their learning' from our blind 'ignorance', or bigotry.",1,0,Negative
BdailyYorkshire,"Leeds University Business School has devised a specialist learning environment comprising teaching rooms and behaviour labs designed for in person and distance learning.

",0,0,Neutral
Bdaily,"Leeds University Business School has devised a specialist learning environment comprising teaching rooms and behaviour labs designed for in person and distance learning.

",0,0,Neutral
Egor9107,"_io  Very much looking forward to the OBT, maybe I can accustom myself to the constant walks, because all these covid restrictions and distance learning is annoying🥰",0,0,Positive
datacinet,"Distance Education Learning Bachelor Degree UG B.A,   Courses ",0,0,Neutral
Adamssong,": &amp; FOLLOW for a chance to WIN a £25 Smiggle gift card. Whether you’re heading back to school, at school, or distance lea…",0,0,Positive
worksmartpanews,Distance Learning ILSPA Legal Secretaries Diploma Course -  - please see ,0,0,Positive
cllrdianne,Spending sometime this morning checking out these free courses  ,1,0,Positive
Educaid_be,"_Advocacy: During COVID-19, Nur had no distance learning options. But she was then able to communicate with her teacher on Whatsapp t…",1,1,Positive
FrandAdams, It has helped me do my research easily and submit my assignment as a distance learning student LoveFNB,1,0,Positive
zekun_jiang,: Deep learning can be used to segment critical overhang distances in tomography images of batteries. Thanks to …,0,0,Positive
TelPortsmouth,"Does your module have the ‘WOW’ factor? 😍

Want to make your module stand out from the rest?

In this session, we’ll discuss the nature of wicked modules and the wow factor and implications for module design and pedagogy, particularly in the context of distance/remote learning. ",1,0,Positive
ni_systems,"Cisco is dedicated to helping schools navigate the future of remote learning with their innovative Cisco Secure Distance Learning solution. To learn more, check out this document, brought to you by Natural Intelligent Systems. ",1,0,Positive
IzakvanderSandt,"Cisco is dedicated to helping schools navigate the future of remote learning with their innovative Cisco Secure Distance Learning solution. To learn more, check out this document, brought to you by Natural Intelligent Systems. ",1,0,Positive
MattTarky, Any possibility of recording it and offering a remote/distance learning option?,0,0,Neutral
ThatDamn_Bri,I don’t like how evil I can be if someone play with me so I keep my distance. I was trying to get rid of that part of me but now I’m  just coming to terms with me and accepting all parts of me. I can be love and light and also dark and evil but not I’m learning to control it all,1,0,Negative
i_am_jan_marie,"  Republican plan was to have far more people die. That’s it. That’s the plan. Kids would have spread COVID to their parents, many would have lost a parent. More teachers would have died. You whine about distance learning bur offer no alternative. That’s not freedom nor leadership",1,0,Positive
brucerobertson7,: Are you based in the Highlands? Would you like to be part of our innovative Highland Community Waste Partnership? Check ou…,1,0,Positive
sonicfan4life,I need to switch to distance learning BAD,1,-1,Negative
HI_Advocacy,"During COVID-19, Nur had no distance learning options. But she was then able to communicate with her teacher on Whatsapp to continue her education.

After the DayOfTheGirlChild, we call on leaders to address the digital divide for girls with disabilities.  ",0,0,Positive
AllieheDaxa,Teacher Life | 2020-2021 Teacher Planner: Cute Llamas Wearing Masks Weekly Lesson Planner (Virtual Distance Learning Academic Planners) --  ,1,0,Positive
geebeeWA,": @_marching_Ents_  In the school system, our kids were up to 5 years behind academically. Home schooled via Distanc…",1,0,Negative
arcoacademy,They used their learning of forces and cross-curricular knowledge from Maths to help them. They gathered their results and worked out the average distance to find out if their predictions were correct ✏️🌟 Science arcoacademy Education studentsuccess,0,0,Negative
SciPolTech," Yes. A lot of non-medicine science courses, an industrial placement is paid, sometimes quite well, and upgrades the student from BSc to MSc after they give a presentation / write a report / do a few distance learning bits.",0,0,Negative
mekgatla,": Richfield was built to give you a competitive edge at work! Study a Postgraduate Diploma in Management, Bachelor of Sc…",0,0,Neutral
ASCastellanos18," Hola👋🏼 FFBWednesday
🇲🇽 Education student in Mexico
🐶Dog lover 
📚Love reading, and coffee ☕️
✅ Kahoot! Verified Educator 
👩🏽‍💻 Nearpod Certified Educator and Distance Learning Expert
🤝Willing to make connections
Have a nice Wednesday 👻🎶 ",1,1,Positive
MobileGuardian_," was in search of an easy-to-use solution to support their school's transition to a remote learning environment.



edtech education",0,0,Negative
thisisrichfield,"Richfield was built to give you a competitive edge at work! Study a Postgraduate Diploma in Management, Bachelor of Science Honours in Information Technology or Master of Business Administration. Own tomorrow. Apply today:   ",1,1,Positive
UswaAamir,": A part of maturity is learning to love some people from a distance. To keep their well-being in your prayers, but take a p…",1,1,Positive
taestsberry,"A part of maturity is learning to love some people from a distance. To keep their well-being in your prayers, but take a path, away from them",1,1,Positive
zeditip,"O-Cademy By ONPASSIVE❗️
👩🏫👨🎓Let distance and age not be a limitation to your learning or teaching. 
👩🎓👨🏫 Reinvent yourself with the best e-Learning Platform to learn and earn.


ONPASSIVE OFounders earn GoFounders ... ",0,1,Positive
CrizBalor,": If Hazard takes jamb form next year, he can still gain admission to UI or distance learning while doing his plumbing w…",0,0,Neutral
papalamour, Whose local schools will be forced into distance learning/only open for a couple of hours a day due to energy price rises.,0,0,Negative
ValFrances2,"For all of those wonderful parents/carers home schooling or supporting distance education for kids with learning difficulties, you may find this Australian teachers practical guide helpful:)                                          ",1,0,Positive
HendricknGr,": . and  have begun distributing 50,000 computers to teachers in Ukraine to help them deliver distance learning:…",0,0,Neutral
RxGreg,     CA NY IL were not bussing issues. They were Gov mandated closures/distance learning that extended through the end of the 20/21 school year for most. FL was in person Fall ‘20. He was the first Gov to do so and was excoriated in the media for it despite it being the right decision,0,0,Positive
